OG0000174: Ga0061073_0012 Ga0070887_120195 Ga0072400_10870 Ga0072402_105733 Ga0072403_115220 Ga0072404_110561 Ga0133561_111220 Ga0133562_121075 Ga0133563_111107 Ga0133564_111312 Ga0225908_10827 Ga0226839_109142 Ga0226840_112138 Ga0226842_104838 Ga0226843_107593 Ga0226847_106925 Ga0226852_108551 Ga0227359_100976 Ga0307804_111363 Ga0311394_111505 Ga0312303_111659 Ga0312304_111447 H3R21_00050 H3R22_00400 H3R25_04110 H3T43_02215 H3T47_06110 H3T48_02600 H3U49_00380 LACWKB10_1221 LACWKB8_1254
OG0000186: Ga0061073_0043 Ga0070887_120163 Ga0072400_10846 Ga0072402_105699 Ga0072403_115186 Ga0072404_110524 Ga0133561_111196 Ga0133562_121033 Ga0133563_111073 Ga0133564_111279 Ga0225908_107100 Ga0226839_109109 Ga0226840_112101 Ga0226842_104804 Ga0226843_107566 Ga0226847_106892 Ga0226852_108521 Ga0227359_100945 Ga0307804_111326 Ga0311394_111445 Ga0312303_111691 Ga0312304_111416 H3R21_00190 H3R22_00550 H3R25_03915 H3T43_02065 H3T47_06000 H3T48_02755 H3U49_00525 LACWKB10_1252 LACWKB8_1232
OG0000187: Ga0061073_0044 Ga0070887_120162 Ga0072400_10845 Ga0072402_105698 Ga0072403_115185 Ga0072404_110523 Ga0133561_111195 Ga0133562_121032 Ga0133563_111072 Ga0133564_111278 Ga0225908_10799 Ga0226839_109108 Ga0226840_112100 Ga0226842_104803 Ga0226843_107565 Ga0226847_106891 Ga0226852_108520 Ga0227359_100944 Ga0307804_111325 Ga0311394_111444 Ga0312303_111692 Ga0312304_111415 H3R21_00195 H3R22_00555 H3R25_03910 H3T43_02060 H3T47_05995 H3T48_02760 H3U49_00530 LACWKB10_1253 LACWKB8_1231
OG0000188: Ga0061073_0045 Ga0070887_120161 Ga0072400_10844 Ga0072402_105697 Ga0072403_115184 Ga0072404_110522 Ga0133561_111194 Ga0133562_121031 Ga0133563_111071 Ga0133564_111277 Ga0225908_10798 Ga0226839_109107 Ga0226840_11299 Ga0226842_104802 Ga0226843_107564 Ga0226847_106890 Ga0226852_108519 Ga0227359_100943 Ga0307804_111324 Ga0311394_111443 Ga0312303_111693 Ga0312304_111414 H3R21_00200 H3R22_00560 H3R25_03905 H3T43_02055 H3T47_05990 H3T48_02765 H3U49_00535 LACWKB10_1254 LACWKB8_1230
OG0000189: Ga0061073_0046 Ga0070887_120160 Ga0072400_10843 Ga0072402_105696 Ga0072403_115183 Ga0072404_110521 Ga0133561_111193 Ga0133562_121030 Ga0133563_111070 Ga0133564_111275 Ga0225908_10797 Ga0226839_109106 Ga0226840_11298 Ga0226842_104801 Ga0226843_107563 Ga0226847_106889 Ga0226852_108518 Ga0227359_100942 Ga0307804_111323 Ga0311394_111442 Ga0312303_111694 Ga0312304_111413 H3R21_00205 H3R22_00565 H3R25_03900 H3T43_02050 H3T47_05985 H3T48_02770 H3U49_00540 LACWKB10_1255 LACWKB8_1229
OG0000190: Ga0061073_0047 Ga0070887_120159 Ga0072400_10842 Ga0072402_105695 Ga0072403_115182 Ga0072404_110520 Ga0133561_111192 Ga0133562_121029 Ga0133563_111069 Ga0133564_111274 Ga0225908_10796 Ga0226839_109105 Ga0226840_11297 Ga0226842_104800 Ga0226843_107562 Ga0226847_106888 Ga0226852_108517 Ga0227359_100941 Ga0307804_111322 Ga0311394_111441 Ga0312303_111695 Ga0312304_111412 H3R21_00210 H3R22_00570 H3R25_03895 H3T43_02045 H3T47_05980 H3T48_02775 H3U49_00545 LACWKB10_1256 LACWKB8_1228
OG0000191: Ga0061073_0048 Ga0070887_120158 Ga0072400_10841 Ga0072402_105694 Ga0072403_115181 Ga0072404_110519 Ga0133561_111191 Ga0133562_121028 Ga0133563_111068 Ga0133564_111273 Ga0225908_10795 Ga0226839_109104 Ga0226840_11296 Ga0226842_104799 Ga0226843_107561 Ga0226847_106887 Ga0226852_108516 Ga0227359_100940 Ga0307804_111321 Ga0311394_111440 Ga0312303_111696 Ga0312304_111411 H3R21_00215 H3R22_00575 H3R25_03890 H3T43_02040 H3T47_05975 H3T48_02780 H3U49_00550 LACWKB10_1257 LACWKB8_1227
OG0000192: Ga0061073_0049 Ga0070887_120157 Ga0072400_10840 Ga0072402_105693 Ga0072403_115180 Ga0072404_110518 Ga0133561_111190 Ga0133562_121027 Ga0133563_111067 Ga0133564_111272 Ga0225908_10794 Ga0226839_109103 Ga0226840_11295 Ga0226842_104798 Ga0226843_107560 Ga0226847_106886 Ga0226852_108515 Ga0227359_100939 Ga0307804_111320 Ga0311394_111439 Ga0312303_111697 Ga0312304_111410 H3R21_00220 H3R22_00580 H3R25_03885 H3T43_02035 H3T47_05970 H3T48_02785 H3U49_00555 LACWKB10_1258 LACWKB8_1226
OG0000193: Ga0061073_0050 Ga0070887_120156 Ga0072400_10839 Ga0072402_105692 Ga0072403_115179 Ga0072404_110517 Ga0133561_111189 Ga0133562_121026 Ga0133563_111066 Ga0133564_111271 Ga0225908_10793 Ga0226839_109102 Ga0226840_11294 Ga0226842_104797 Ga0226843_107559 Ga0226847_106885 Ga0226852_108514 Ga0227359_100938 Ga0307804_111319 Ga0311394_111438 Ga0312303_111698 Ga0312304_111409 H3R21_00225 H3R22_00585 H3R25_03880 H3T43_02030 H3T47_05965 H3T48_02790 H3U49_00560 LACWKB10_1259 LACWKB8_1225
OG0000194: Ga0061073_0051 Ga0070887_120155 Ga0072400_10838 Ga0072402_105691 Ga0072403_115178 Ga0072404_110516 Ga0133561_111188 Ga0133562_121025 Ga0133563_111065 Ga0133564_111270 Ga0225908_10792 Ga0226839_109101 Ga0226840_11293 Ga0226842_104796 Ga0226843_107558 Ga0226847_106884 Ga0226852_108513 Ga0227359_100937 Ga0307804_111318 Ga0311394_111437 Ga0312303_111699 Ga0312304_111408 H3R21_00230 H3R22_00590 H3R25_03875 H3T43_02025 H3T47_05960 H3T48_02795 H3U49_00565 LACWKB10_1260 LACWKB8_1224
OG0000195: Ga0061073_0052 Ga0070887_120154 Ga0072400_10837 Ga0072402_105690 Ga0072403_115177 Ga0072404_110515 Ga0133561_111187 Ga0133562_121024 Ga0133563_111064 Ga0133564_111269 Ga0225908_10791 Ga0226839_109100 Ga0226840_11292 Ga0226842_104795 Ga0226843_107557 Ga0226847_106883 Ga0226852_108512 Ga0227359_100936 Ga0307804_111317 Ga0311394_111436 Ga0312303_111700 Ga0312304_111407 H3R21_00235 H3R22_00595 H3R25_03870 H3T43_02020 H3T47_05955 H3T48_02800 H3U49_00570 LACWKB10_1261 LACWKB8_1223
OG0000196: Ga0061073_0053 Ga0070887_120153 Ga0072400_10836 Ga0072402_105689 Ga0072403_115176 Ga0072404_110514 Ga0133561_111186 Ga0133562_121023 Ga0133563_111063 Ga0133564_111268 Ga0225908_10790 Ga0226839_10999 Ga0226840_11291 Ga0226842_104794 Ga0226843_107556 Ga0226847_106882 Ga0226852_108511 Ga0227359_100935 Ga0307804_111316 Ga0311394_111435 Ga0312303_111701 Ga0312304_111406 H3R21_00240 H3R22_00600 H3R25_03865 H3T43_02015 H3T47_05950 H3T48_02805 H3U49_00575 LACWKB10_1262 LACWKB8_1222
OG0000197: Ga0061073_0054 Ga0070887_120152 Ga0072400_10835 Ga0072402_105688 Ga0072403_115175 Ga0072404_110513 Ga0133561_111185 Ga0133562_121022 Ga0133563_111062 Ga0133564_111267 Ga0225908_10789 Ga0226839_10998 Ga0226840_11290 Ga0226842_104793 Ga0226843_107555 Ga0226847_106881 Ga0226852_108510 Ga0227359_100934 Ga0307804_111315 Ga0311394_111434 Ga0312303_111702 Ga0312304_111405 H3R21_00245 H3R22_00605 H3R25_03860 H3T43_02010 H3T47_05945 H3T48_02810 H3U49_00580 LACWKB10_1263 LACWKB8_1221
OG0000198: Ga0061073_0057 Ga0070887_120148 Ga0072400_10834 Ga0072402_105685 Ga0072403_115171 Ga0072404_110509 Ga0133561_111184 Ga0133562_121021 Ga0133563_111059 Ga0133564_111263 Ga0225908_10788 Ga0226839_10994 Ga0226840_11289 Ga0226842_104790 Ga0226843_107554 Ga0226847_106880 Ga0226852_108494 Ga0227359_100933 Ga0307804_111310 Ga0311394_111429 Ga0312303_111707 Ga0312304_111400 H3R21_00260 H3R22_00610 H3R25_03845 H3T43_01990 H3T47_05940 H3T48_02825 H3U49_00600 LACWKB10_1264 LACWKB8_1220
OG0000199: Ga0061073_0058 Ga0070887_120147 Ga0072400_10833 Ga0072402_105684 Ga0072403_115170 Ga0072404_110508 Ga0133561_111183 Ga0133562_121020 Ga0133563_111058 Ga0133564_111262 Ga0225908_10787 Ga0226839_10993 Ga0226840_11288 Ga0226842_104789 Ga0226843_107553 Ga0226847_106879 Ga0226852_108493 Ga0227359_100932 Ga0307804_111309 Ga0311394_111428 Ga0312303_111708 Ga0312304_111399 H3R21_00265 H3R22_00615 H3R25_03840 H3T43_01985 H3T47_05935 H3T48_02830 H3U49_00605 LACWKB10_1265 LACWKB8_1219
OG0000200: Ga0061073_0059 Ga0070887_120146 Ga0072400_10832 Ga0072402_105683 Ga0072403_115169 Ga0072404_110507 Ga0133561_111182 Ga0133562_121019 Ga0133563_111057 Ga0133564_111261 Ga0225908_10786 Ga0226839_10992 Ga0226840_11287 Ga0226842_104788 Ga0226843_107552 Ga0226847_106878 Ga0226852_108492 Ga0227359_100931 Ga0307804_111308 Ga0311394_111427 Ga0312303_111709 Ga0312304_111398 H3R21_00270 H3R22_00620 H3R25_03835 H3T43_01980 H3T47_05930 H3T48_02835 H3U49_00610 LACWKB10_1266 LACWKB8_1218
OG0000201: Ga0061073_0060 Ga0070887_120145 Ga0072400_10831 Ga0072402_105682 Ga0072403_115168 Ga0072404_110506 Ga0133561_111181 Ga0133562_121018 Ga0133563_111056 Ga0133564_111260 Ga0225908_10785 Ga0226839_10991 Ga0226840_11286 Ga0226842_104787 Ga0226843_107551 Ga0226847_106877 Ga0226852_108491 Ga0227359_100930 Ga0307804_111307 Ga0311394_111426 Ga0312303_111710 Ga0312304_111397 H3R21_00275 H3R22_00625 H3R25_03830 H3T43_01975 H3T47_05925 H3T48_02840 H3U49_00615 LACWKB10_1267 LACWKB8_1217
OG0000202: Ga0061073_0061 Ga0070887_120144 Ga0072400_10830 Ga0072402_105681 Ga0072403_115167 Ga0072404_110505 Ga0133561_111180 Ga0133562_121017 Ga0133563_111055 Ga0133564_111259 Ga0225908_10784 Ga0226839_10990 Ga0226840_11285 Ga0226842_104786 Ga0226843_107550 Ga0226847_106876 Ga0226852_108490 Ga0227359_100929 Ga0307804_111306 Ga0311394_111425 Ga0312303_111711 Ga0312304_111396 H3R21_00280 H3R22_00630 H3R25_03825 H3T43_01970 H3T47_05920 H3T48_02845 H3U49_00620 LACWKB10_1268 LACWKB8_1216
OG0000203: Ga0061073_0062 Ga0070887_120143 Ga0072400_10829 Ga0072402_105680 Ga0072403_115166 Ga0072404_110504 Ga0133561_111179 Ga0133562_121016 Ga0133563_111054 Ga0133564_111258 Ga0225908_10783 Ga0226839_10989 Ga0226840_11284 Ga0226842_104785 Ga0226843_107549 Ga0226847_106875 Ga0226852_108489 Ga0227359_100928 Ga0307804_111305 Ga0311394_111424 Ga0312303_111712 Ga0312304_111395 H3R21_00285 H3R22_00635 H3R25_03820 H3T43_01965 H3T47_05915 H3T48_02850 H3U49_00625 LACWKB10_1269 LACWKB8_1215
OG0000204: Ga0061073_0063 Ga0070887_120141 Ga0072400_10827 Ga0072402_105678 Ga0072403_115164 Ga0072404_110502 Ga0133561_111177 Ga0133562_121014 Ga0133563_111052 Ga0133564_111256 Ga0225908_10781 Ga0226839_10987 Ga0226840_11282 Ga0226842_104783 Ga0226843_107547 Ga0226847_106873 Ga0226852_108487 Ga0227359_100926 Ga0307804_111303 Ga0311394_111418 Ga0312303_111714 Ga0312304_111393 H3R21_00290 H3R22_00640 H3R25_03815 H3T43_01960 H3T47_05910 H3T48_02855 H3U49_00630 LACWKB10_1270 LACWKB8_1214
OG0000208: Ga0061073_0072 Ga0070887_120132 Ga0072400_10818 Ga0072402_105669 Ga0072403_115155 Ga0072404_110493 Ga0133561_111168 Ga0133562_121005 Ga0133563_111043 Ga0133564_111247 Ga0225908_10772 Ga0226839_10978 Ga0226840_11273 Ga0226842_104774 Ga0226843_107541 Ga0226847_106867 Ga0226852_108481 Ga0227359_100917 Ga0307804_111292 Ga0311394_111406 Ga0312303_111723 Ga0312304_111382 H3R21_00330 H3R22_00680 H3R25_03775 H3T43_01920 H3T47_05870 H3T48_02895 H3U49_00670 LACWKB10_1278 LACWKB8_1206
OG0000209: Ga0061073_0073 Ga0070887_120131 Ga0072400_10817 Ga0072402_105668 Ga0072403_115154 Ga0072404_110492 Ga0133561_111167 Ga0133562_121004 Ga0133563_111042 Ga0133564_111246 Ga0225908_10771 Ga0226839_10977 Ga0226840_11272 Ga0226842_104773 Ga0226843_107540 Ga0226847_106866 Ga0226852_108480 Ga0227359_100916 Ga0307804_111291 Ga0311394_111405 Ga0312303_111724 Ga0312304_111381 H3R21_00335 H3R22_00685 H3R25_03770 H3T43_01915 H3T47_05865 H3T48_02900 H3U49_00675 LACWKB10_1279 LACWKB8_1205
OG0000210: Ga0061073_0074 Ga0070887_120130 Ga0072400_10816 Ga0072402_105667 Ga0072403_115153 Ga0072404_110491 Ga0133561_111166 Ga0133562_121003 Ga0133563_111041 Ga0133564_111245 Ga0225908_10770 Ga0226839_10976 Ga0226840_11271 Ga0226842_104772 Ga0226843_107539 Ga0226847_106865 Ga0226852_108479 Ga0227359_100915 Ga0307804_111290 Ga0311394_111404 Ga0312303_111725 Ga0312304_111380 H3R21_00340 H3R22_00690 H3R25_03765 H3T43_01910 H3T47_05860 H3T48_02905 H3U49_00680 LACWKB10_1280 LACWKB8_1204
OG0000211: Ga0061073_0075 Ga0070887_120129 Ga0072400_10815 Ga0072402_105666 Ga0072403_115152 Ga0072404_110490 Ga0133561_111165 Ga0133562_121002 Ga0133563_111040 Ga0133564_111244 Ga0225908_10769 Ga0226839_10975 Ga0226840_11270 Ga0226842_104771 Ga0226843_107538 Ga0226847_106864 Ga0226852_108478 Ga0227359_100914 Ga0307804_111289 Ga0311394_111403 Ga0312303_111726 Ga0312304_111379 H3R21_00345 H3R22_00695 H3R25_03760 H3T43_01905 H3T47_05855 H3T48_02910 H3U49_00685 LACWKB10_1281 LACWKB8_1203
OG0000212: Ga0061073_0076 Ga0070887_120128 Ga0072400_10814 Ga0072402_105665 Ga0072403_115151 Ga0072404_110489 Ga0133561_111164 Ga0133562_121001 Ga0133563_111039 Ga0133564_111243 Ga0225908_10768 Ga0226839_10974 Ga0226840_11269 Ga0226842_104770 Ga0226843_107537 Ga0226847_106863 Ga0226852_108477 Ga0227359_100913 Ga0307804_111288 Ga0311394_111402 Ga0312303_111727 Ga0312304_111378 H3R21_00350 H3R22_00700 H3R25_03755 H3T43_01900 H3T47_05850 H3T48_02915 H3U49_00690 LACWKB10_1282 LACWKB8_1202
OG0000213: Ga0061073_0077 Ga0070887_120127 Ga0072400_10813 Ga0072402_105664 Ga0072403_115150 Ga0072404_110488 Ga0133561_111163 Ga0133562_121000 Ga0133563_111038 Ga0133564_111242 Ga0225908_10767 Ga0226839_10973 Ga0226840_11268 Ga0226842_104769 Ga0226843_107536 Ga0226847_106862 Ga0226852_108476 Ga0227359_100912 Ga0307804_111287 Ga0311394_111401 Ga0312303_111728 Ga0312304_111377 H3R21_00355 H3R22_00705 H3R25_03750 H3T43_01895 H3T47_05845 H3T48_02920 H3U49_00695 LACWKB10_1283 LACWKB8_1201
OG0000214: Ga0061073_0078 Ga0070887_120126 Ga0072400_10812 Ga0072402_105663 Ga0072403_115149 Ga0072404_110487 Ga0133561_111162 Ga0133562_12999 Ga0133563_111037 Ga0133564_111241 Ga0225908_10766 Ga0226839_10972 Ga0226840_11267 Ga0226842_104768 Ga0226843_107535 Ga0226847_106861 Ga0226852_108475 Ga0227359_100911 Ga0307804_111286 Ga0311394_111400 Ga0312303_111729 Ga0312304_111376 H3R21_00360 H3R22_00710 H3R25_03745 H3T43_01890 H3T47_05840 H3T48_02925 H3U49_00700 LACWKB10_1284 LACWKB8_1200
OG0000215: Ga0061073_0079 Ga0070887_120125 Ga0072400_10811 Ga0072402_105662 Ga0072403_115148 Ga0072404_110486 Ga0133561_111161 Ga0133562_12998 Ga0133563_111036 Ga0133564_111240 Ga0225908_10765 Ga0226839_10971 Ga0226840_11266 Ga0226842_104767 Ga0226843_107534 Ga0226847_106860 Ga0226852_108474 Ga0227359_100910 Ga0307804_111285 Ga0311394_111399 Ga0312303_111730 Ga0312304_111375 H3R21_00365 H3R22_00715 H3R25_03740 H3T43_01885 H3T47_05835 H3T48_02930 H3U49_00705 LACWKB10_1285 LACWKB8_1199
OG0000216: Ga0061073_0080 Ga0070887_120124 Ga0072400_10810 Ga0072402_105661 Ga0072403_115147 Ga0072404_110485 Ga0133561_111160 Ga0133562_12997 Ga0133563_111035 Ga0133564_111239 Ga0225908_10764 Ga0226839_10970 Ga0226840_11265 Ga0226842_104766 Ga0226843_107533 Ga0226847_106859 Ga0226852_108473 Ga0227359_10099 Ga0307804_111284 Ga0311394_111398 Ga0312303_111731 Ga0312304_111374 H3R21_00370 H3R22_00720 H3R25_03735 H3T43_01880 H3T47_05830 H3T48_02935 H3U49_00710 LACWKB10_1286 LACWKB8_1198
OG0000217: Ga0061073_0081 Ga0070887_120123 Ga0072400_1089 Ga0072402_105660 Ga0072403_115146 Ga0072404_110484 Ga0133561_111159 Ga0133562_12996 Ga0133563_111034 Ga0133564_111238 Ga0225908_10763 Ga0226839_10969 Ga0226840_11264 Ga0226842_104765 Ga0226843_107532 Ga0226847_106858 Ga0226852_108472 Ga0227359_10098 Ga0307804_111283 Ga0311394_111397 Ga0312303_111732 Ga0312304_111373 H3R21_00375 H3R22_00725 H3R25_03730 H3T43_01875 H3T47_05825 H3T48_02940 H3U49_00715 LACWKB10_1287 LACWKB8_1197
OG0000218: Ga0061073_0082 Ga0070887_120122 Ga0072400_1088 Ga0072402_105659 Ga0072403_115145 Ga0072404_110483 Ga0133561_111158 Ga0133562_12995 Ga0133563_111033 Ga0133564_111237 Ga0225908_10762 Ga0226839_10968 Ga0226840_11263 Ga0226842_104764 Ga0226843_107531 Ga0226847_106857 Ga0226852_108471 Ga0227359_10097 Ga0307804_111282 Ga0311394_111396 Ga0312303_111733 Ga0312304_111372 H3R21_00380 H3R22_00730 H3R25_03725 H3T43_01870 H3T47_05820 H3T48_02945 H3U49_00720 LACWKB10_1288 LACWKB8_1196
OG0000219: Ga0061073_0083 Ga0070887_120121 Ga0072400_1087 Ga0072402_105658 Ga0072403_115144 Ga0072404_110482 Ga0133561_111157 Ga0133562_12994 Ga0133563_111032 Ga0133564_111236 Ga0225908_10761 Ga0226839_10967 Ga0226840_11262 Ga0226842_104763 Ga0226843_107530 Ga0226847_106856 Ga0226852_108470 Ga0227359_10096 Ga0307804_111281 Ga0311394_111395 Ga0312303_111734 Ga0312304_111371 H3R21_00385 H3R22_00735 H3R25_03720 H3T43_01865 H3T47_05815 H3T48_02950 H3U49_00725 LACWKB10_1289 LACWKB8_1195
OG0000220: Ga0061073_0084 Ga0070887_120120 Ga0072400_1086 Ga0072402_105657 Ga0072403_115143 Ga0072404_110481 Ga0133561_111156 Ga0133562_12993 Ga0133563_111031 Ga0133564_111235 Ga0225908_10760 Ga0226839_10966 Ga0226840_11261 Ga0226842_104762 Ga0226843_107529 Ga0226847_106855 Ga0226852_108469 Ga0227359_10095 Ga0307804_111280 Ga0311394_111394 Ga0312303_111735 Ga0312304_111370 H3R21_00390 H3R22_00740 H3R25_03715 H3T43_01860 H3T47_05810 H3T48_02955 H3U49_00730 LACWKB10_1290 LACWKB8_1194
OG0000221: Ga0061073_0085 Ga0070887_120118 Ga0072400_1084 Ga0072402_105655 Ga0072403_115141 Ga0072404_110479 Ga0133561_111154 Ga0133562_12991 Ga0133563_111029 Ga0133564_111233 Ga0225908_10758 Ga0226839_10964 Ga0226840_11259 Ga0226842_104760 Ga0226843_107527 Ga0226847_106853 Ga0226852_108467 Ga0227359_10093 Ga0307804_111278 Ga0311394_111392 Ga0312303_111737 Ga0312304_111368 H3R21_00395 H3R22_00745 H3R25_03710 H3T43_01855 H3T47_05805 H3T48_02960 H3U49_00735 LACWKB10_1291 LACWKB8_1193
OG0000222: Ga0061073_0086 Ga0070887_120117 Ga0072400_1083 Ga0072402_105654 Ga0072403_115140 Ga0072404_110478 Ga0133561_111153 Ga0133562_12990 Ga0133563_111028 Ga0133564_111232 Ga0225908_10757 Ga0226839_10963 Ga0226840_11258 Ga0226842_104759 Ga0226843_107526 Ga0226847_106852 Ga0226852_108466 Ga0227359_10092 Ga0307804_111277 Ga0311394_111391 Ga0312303_111738 Ga0312304_111367 H3R21_00400 H3R22_00750 H3R25_03705 H3T43_01850 H3T47_05800 H3T48_02965 H3U49_00740 LACWKB10_1292 LACWKB8_1192
